AVI,part,VRS,Part_No,lot,vrs_id,strips,CheckTime(min),OK,NG,ALL,filter rate,visper,AI,size,type,model,Date_Code
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1031.0,[1031-G7]_17_P1,150,31.0,0.0,4142.0,4142.0,0.0,V3,Unactivated,10UM,NO3,Z1,
20211221,V4-10VPJ5903MA-10UM-NO3-Z1,2021/12/22,10VPJ5903MA,1031.0,[31-R4]_8_P2,90,9.0,0.0,4308.0,4308.0,0.0,V4,Unactivated,10UM,NO3,Z1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1031.0,[1031-G1]_11_P2,136,27.0,0.0,3219.0,3219.0,0.0,V3,Unactivated,10UM,NO3,Z1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/21,08VP32908RA,1018.0,[1018-B7]_7,229,32.0,5226.0,2629.0,7855.0,0.67,V1,ON,18UM,NO3,R1,
20211221,V1-10VP32907QA-2X-R1,2021/12/21,10VP32907QA,1130.0,[130-G11]_1,202,21.0,0.0,8184.0,8184.0,0.0,V1,Unactivated,18UM,2X,R1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/22,08VP32908RA,1038.0,[38-o40]_26,357,66.0,14118.0,4826.0,18944.0,0.75,V1,ON,18UM,NO3,R1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1031.0,[1031-G3]_13_P1,167,23.0,0.0,4146.0,4146.0,0.0,V3,Unactivated,10UM,NO3,Z1,
20211221,V4-08VPJ5905PB-10UM-NO3-Z1,2021/12/22,08VPJ5905PB,1025.0,[1025-B4]_4_P1,155,32.0,0.0,7550.0,7550.0,0.0,V4,Unactivated,10UM,NO3,Z1,
20211221,V3-10VPJ5903MA-10UM-NO3-Z1,2021/12/21,10VPJ5903MA,1034.0,[1034-Y8]_4_P1,149,25.0,0.0,5798.0,5798.0,0.0,V3,Unactivated,10UM,NO3,Z1,
20211221,V1-08VP32908RA-NO3-R1,2021/12/22,08VP32908RA,1025.0,[25-y7]_24,229,28.0,0.0,14836.0,14836.0,0.0,V1,Unactivated,18UM,NO3,R1,
